Plot,Location,MAP,elevation,area,year,age,Tree,Species,DBH,Height,Volume,BA,wood,crown,root,total
3,Kainehe,2667,732,0.04,1966,27,5,ES,29.972,42.1,1.152,0.0705,491.8572965,15.0181779,113.1802473,620.0557217
3,Kainehe,2667,732,0.04,1966,27,6,ES,55.372,56.1,4.532,0.2408,3769.467029,58.29261953,503.5931211,4331.35277
3,Kainehe,2667,732,0.04,1966,27,7,EM,9.652,11.9,0.044,0.0073,11.45921879,1.228360397,7.194279457,19.88185864
3,Kainehe,2667,732,0.04,1966,27,9,EM,23.368,28.7,0.506,0.0429,215.3794423,8.665291038,61.78536161,285.8300949
3,Kainehe,2667,732,0.04,1966,27,10,ES,12.446,19.8,0.115,0.0122,26.63676927,2.154180985,13.35089755,42.14184781
3,Kainehe,2667,732,0.04,1966,27,11,ES,31.75,46.3,1.405,0.0792,595.4935141,17.05754882,130.2083239,742.7593868
3,Kainehe,2667,732,0.04,1966,27,12,ES,66.802,58.2,6.547,0.3505,7025.515186,88.24420107,794.8514614,7908.610848
3,Kainehe,2667,732,0.04,1966,27,13,ES,10.16,20.1,0.081,0.0081,13.58512484,1.375768939,8.150110474,23.11100425
3,Kainehe,2667,732,0.04,1966,27,14,ER,18.288,20.1,0.231,0.0263,95.50074316,5.041619901,34.03973952,134.5821026
3,Kainehe,2667,732,0.04,1966,27,15,EM,27.432,29.6,0.693,0.0591,366.6420989,12.3493397,91.25153318,470.2429718
3,Kainehe,2667,732,0.04,1966,27,16,ES,57.404,57,4.907,0.2588,4248.249098,63.1242957,549.7247883,4861.098182
3,Kainehe,2667,732,0.04,1966,27,17,ES,42.926,49.4,2.548,0.1447,1619.688516,33.21311606,271.1278076,1924.02944
3,Kainehe,2667,732,0.04,1966,27,18,ES,12.954,20.7,0.128,0.0132,30.41762663,2.353261845,14.71513548,47.48602396
3,Kainehe,2667,732,0.04,1966,27,19,ES,27.432,31.7,0.743,0.0591,366.6420989,12.3493397,91.25153318,470.2429718
3,Kainehe,2667,732,0.04,1966,27,20,ES,51.562,53,3.709,0.2088,2975.495851,49.79737441,423.432278,3448.725504
3,Kainehe,2667,732,0.04,1966,27,21,ES,21.336,26.8,0.404,0.0358,159.2659036,7.087434068,49.52230156,215.8756392
3,Kainehe,2667,732,0.04,1966,27,22,ER,16.256,21,0.196,0.0207,64.60898408,3.886409882,25.56132095,94.05671491
3,Kainehe,2667,732,0.04,1966,27,23,ES,40.132,54,2.472,0.1265,1295.547909,28.62376666,230.1906251,1554.3623
3,Kainehe,2667,732,0.04,1966,27,24,ES,31.496,46.9,1.403,0.0779,579.8337114,16.75749747,127.6894849,724.2806938
3,Kainehe,2667,732,0.04,1966,27,26,ES,59.69,56.7,5.229,0.2798,4835.907085,68.8126671,604.4921115,5509.211864
3,Kainehe,2667,732,0.04,1966,27,27,EM,19.558,27.7,0.358,0.03,119.3295279,5.847836296,40.07735397,165.2547182
3,Kainehe,2667,732,0.04,1966,27,28,EM,10.668,13.7,0.061,0.0089,15.9722276,1.532368643,9.176897289,26.68149353
3,Kainehe,2667,732,0.04,1966,27,29,EM,30.988,36,1.045,0.0754,549.3810065,16.16612733,122.7384699,688.2856038
3,Kainehe,2667,732,0.04,1966,27,30,EM,13.716,22.3,0.154,0.0148,36.76927027,2.670041193,16.90967344,56.3489849
3,Kainehe,2667,732,0.04,1966,27,31,EM,13.97,18.3,0.131,0.0153,39.07727991,2.780515444,17.68135963,59.53915498
3,Kainehe,2667,732,0.04,1966,27,32,ES,51.562,55.8,3.975,0.2088,2975.495851,49.79737441,423.432278,3448.725504
3,Kainehe,2667,732,0.04,1966,27,33,EM,18.288,25.6,0.294,0.0263,95.50074316,5.041619901,34.03973952,134.5821026
3,Kainehe,2667,732,0.04,1966,27,34,ES,31.75,43.6,1.322,0.0792,595.4935141,17.05754882,130.2083239,742.7593868
3,Kainehe,2667,732,0.04,1966,27,35,EM,8.89,10.7,0.034,0.0062,8.722840916,1.024264907,5.890159844,15.63726567
3,Kainehe,2667,732,0.04,1966,27,36,ES,44.196,49.7,2.698,0.1534,1784.198995,35.42317734,291.0511828,2110.673355
3,Kainehe,2667,732,0.04,1966,27,37,EM,11.43,15.8,0.079,0.0102,20.08063641,1.784707293,10.85341552,32.71875923
3,Kainehe,2667,732,0.04,1971,32,1,ES,24.384,43.6,0.83,0.0467,248.0438659,9.519677559,68.52313679,326.0866803
3,Kainehe,2667,732,0.04,1971,32,2,EM,15.748,23.8,0.207,0.0195,58.14952104,3.62312558,23.66193111,85.43457773
3,Kainehe,2667,732,0.04,1971,32,3,EM,14.986,18.3,0.148,0.0177,49.32667013,3.247068638,20.97324785,73.54698661
3,Kainehe,2667,732,0.04,1971,32,4,EM,29.464,31.1,0.827,0.0682,464.7374933,14.4615178,108.5713971,587.7704082
3,Kainehe,2667,732,0.04,1971,32,5,ES,30.226,42.1,1.17,0.0717,505.8231514,15.30082896,115.5270827,636.6510631
3,Kainehe,2667,732,0.04,1971,32,6,ES,59.69,63.4,5.847,0.2798,4835.907085,68.8126671,604.4921115,5509.211864
3,Kainehe,2667,732,0.04,1971,32,7,EM,9.652,11.9,0.044,0.0073,11.45921879,1.228360397,7.194279457,19.88185864
3,Kainehe,2667,732,0.04,1971,32,9,EM,25.654,28.7,0.597,0.0517,293.5529496,10.64981404,77.52882067,381.7315843
3,Kainehe,2667,732,0.04,1971,32,10,ES,12.446,19.8,0.115,0.0122,26.63676927,2.154180985,13.35089755,42.14184781
3,Kainehe,2667,732,0.04,1971,32,11,ES,31.75,46.3,1.405,0.0792,595.4935141,17.05754882,130.2083239,742.7593868
3,Kainehe,2667,732,0.04,1971,32,12,ES,72.136,58.8,7.575,0.4087,9065.01617,104.5684864,958.1285906,10127.71325
3,Kainehe,2667,732,0.04,1971,32,13,ES,9.398,20.1,0.071,0.007,10.48886932,1.158072259,6.742488116,18.3894297
3,Kainehe,2667,732,0.04,1971,32,14,ER,18.288,20.1,0.231,0.0263,95.50074316,5.041619901,34.03973952,134.5821026
3,Kainehe,2667,732,0.04,1971,32,15,EM,30.988,29.6,0.859,0.0754,549.3810065,16.16612733,122.7384699,688.2856038
3,Kainehe,2667,732,0.04,1971,32,16,ES,62.992,59.4,6.027,0.3117,5781.769598,77.50593112,689.0648308,6548.34036
3,Kainehe,2667,732,0.04,1971,32,17,ES,44.196,49.4,2.682,0.1534,1784.198995,35.42317734,291.0511828,2110.673355
3,Kainehe,2667,732,0.04,1971,32,18,ES,12.7,20.7,0.124,0.0126,28.4833899,2.252517501,14.02324906,44.75915646
3,Kainehe,2667,732,0.04,1971,32,19,ES,27.94,31.7,0.767,0.0613,389.6562488,12.86029963,95.41586835,497.9324168
3,Kainehe,2667,732,0.04,1971,32,20,ES,52.832,53,3.871,0.2193,3225.666971,52.5478423,449.2453881,3727.460201
3,Kainehe,2667,732,0.04,1971,32,21,ES,21.336,26.8,0.404,0.0358,159.2659036,7.087434068,49.52230156,215.8756392
3,Kainehe,2667,732,0.04,1971,32,22,ER,16.256,21,0.196,0.0207,64.60898408,3.886409882,25.56132095,94.05671491
3,Kainehe,2667,732,0.04,1971,32,23,ES,41.656,54,2.64,0.1363,1466.080825,31.08074581,252.030926,1749.192497
3,Kainehe,2667,732,0.04,1971,32,24,ES,32.004,46.9,1.444,0.0805,611.4463954,17.36051757,132.7561846,761.5630976
3,Kainehe,2667,732,0.04,1971,32,26,ES,65.786,62.5,6.84,0.3399,6677.208718,85.30603921,765.7704843,7528.285242
3,Kainehe,2667,732,0.04,1971,32,27,EM,20.828,27.7,0.4,0.0341,147.0281843,6.719944034,46.70344166,200.45157
3,Kainehe,2667,732,0.04,1971,32,28,EM,10.922,13.7,0.063,0.0094,17.26913706,1.614144839,9.717373163,28.60065506
3,Kainehe,2667,732,0.04,1971,32,29,EM,33.274,36,1.185,0.087,695.7155321,18.91929186,145.9343028,860.5691268
3,Kainehe,2667,732,0.04,1971,32,30,EM,14.478,22.3,0.169,0.0164,43.9937103,3.008842417,19.28595929,66.28851201
3,Kainehe,2667,732,0.04,1971,32,31,EM,13.97,18.3,0.131,0.0153,39.07727991,2.780515444,17.68135963,59.53915498
3,Kainehe,2667,732,0.04,1971,32,32,ES,57.404,54.9,4.724,0.2588,4248.249098,63.1242957,549.7247883,4861.098182
3,Kainehe,2667,732,0.04,1971,32,34,ES,31.75,43.6,1.322,0.0792,595.4935141,17.05754882,130.2083239,742.7593868
3,Kainehe,2667,732,0.04,1971,32,35,EM,9.144,10.7,0.036,0.0066,9.577439815,1.090044743,6.307848857,16.97533341
3,Kainehe,2667,732,0.04,1971,32,36,ES,47.752,49.7,3.093,0.1791,2306.481135,42.0286768,351.322113,2699.831925
3,Kainehe,2667,732,0.04,1971,32,37,EM,11.938,15.8,0.086,0.0111,23.19718401,1.964690596,12.0641183,37.22599291
9,Kalopa,2159,655,0.04,1961,27,1,ER,32.004,21,0.646,0.0805,611.4463954,17.36051757,132.7561846,761.5630976
9,Kalopa,2159,655,0.04,1961,27,2,ER,59.69,38.1,3.514,0.2798,4835.907085,68.8126671,604.4921115,5509.211864
9,Kalopa,2159,655,0.04,1961,27,3,EF,23.876,27.1,0.497,0.0448,231.3090299,9.086987733,65.10293029,305.4989479
9,Kalopa,2159,655,0.04,1961,27,4,ER,23.114,18.3,0.316,0.042,207.7095792,8.458549703,60.16477028,276.3328992
9,Kalopa,2159,655,0.04,1961,27,5,EF,35.56,40.2,1.488,0.0993,867.3064802,21.91108301,171.5287724,1060.746336
9,Kalopa,2159,655,0.04,1961,27,7,ER,7.366,12.5,0.029,0.0043,4.674046965,0.676024329,3.728254302,9.078325596
9,Kalopa,2159,655,0.04,1961,27,8,EF,27.686,25.3,0.602,0.0602,378.0268343,12.60340222,93.32002355,483.95026
9,Kalopa,2159,655,0.04,1961,27,9,ER,40.132,26.2,1.2,0.1265,1295.547909,28.62376666,230.1906251,1554.3623
9,Kalopa,2159,655,0.04,1961,27,10,ER,9.144,12.8,0.043,0.0066,9.577439815,1.090044743,6.307848857,16.97533341
9,Kalopa,2159,655,0.04,1961,27,11,EF,55.88,57.3,4.704,0.2453,3885.428889,59.48080842,514.9031592,4459.812857
9,Kalopa,2159,655,0.04,1961,27,12,EF,25.908,26.5,0.561,0.0527,303.3071473,10.88418785,79.40890629,393.6002414
9,Kalopa,2159,655,0.04,1961,27,13,EF,9.398,13.1,0.046,0.007,10.48886932,1.158072259,6.742488116,18.3894297
9,Kalopa,2159,655,0.04,1961,27,14,ER,16.256,19.5,0.181,0.0207,64.60898408,3.886409882,25.56132095,94.05671491
9,Kalopa,2159,655,0.04,1961,27,15,ER,17.018,15.2,0.154,0.0228,75.21422326,4.300373984,28.57376818,108.0883654
9,Kalopa,2159,655,0.04,1961,27,16,ER,12.7,11.9,0.071,0.0126,28.4833899,2.252517501,14.02324906,44.75915646
9,Kalopa,2159,655,0.04,1961,27,17,ER,40.132,33.5,1.535,0.1265,1295.547909,28.62376666,230.1906251,1554.3623
9,Kalopa,2159,655,0.04,1961,27,18,EF,64.262,61.9,6.5,0.3243,6177.635211,81.00069418,723.3403704,6981.976276
9,Kalopa,2159,655,0.04,1961,27,19,EF,39.624,29.6,1.324,0.1233,1241.931913,27.82932991,223.168359,1492.929602
9,Kalopa,2159,655,0.04,1961,27,20,EF,15.748,15.5,0.137,0.0195,58.14952104,3.62312558,23.66193111,85.43457773
9,Kalopa,2159,655,0.04,1961,27,21,EF,38.608,26.8,1.147,0.1171,1139.382778,26.27709534,209.5063557,1375.166229
9,Kalopa,2159,655,0.04,1961,27,22,EF,38.354,32,1.353,0.1156,1114.70182,25.89664565,206.1700292,1346.768495
9,Kalopa,2159,655,0.04,1961,27,23,EF,25.4,18.9,0.386,0.0506,284.0200467,10.4182302,75.67520336,370.1134803
9,Kalopa,2159,655,0.04,1961,27,24,EF,24.384,26.8,0.51,0.0467,248.0438659,9.519677559,68.52313679,326.0866803
9,Kalopa,2159,655,0.04,1961,27,25,EF,33.782,29,0.978,0.0897,731.5836128,19.56339168,151.4121713,902.5591759
9,Kalopa,2159,655,0.04,1961,27,26,EF,53.34,46.6,3.527,0.2234,3329.723495,53.67072736,459.8232445,3843.217467
9,Kalopa,2159,655,0.04,1961,27,27,EF,25.654,28,0.583,0.0517,293.5529496,10.64981404,77.52882067,381.7315843
9,Kalopa,2159,655,0.04,1961,27,29,EF,38.354,39.6,1.675,0.1156,1114.70182,25.89664565,206.1700292,1346.768495
9,Kalopa,2159,655,0.04,1961,27,30,EF,12.954,10.7,0.066,0.0132,30.41762663,2.353261845,14.71513548,47.48602396
9,Kalopa,2159,655,0.04,1961,27,31,EF,17.018,12.8,0.129,0.0228,75.21422326,4.300373984,28.57376818,108.0883654
9,Kalopa,2159,655,0.04,1961,27,32,EF,20.828,21.3,0.307,0.0341,147.0281843,6.719944034,46.70344166,200.45157
9,Kalopa,2159,655,0.04,1961,27,33,ER,44.45,25.9,1.421,0.1551,1818.446936,35.8745546,295.1359621,2149.457453
9,Kalopa,2159,655,0.04,1961,27,34,ER,27.686,17.4,0.413,0.0602,378.0268343,12.60340222,93.32002355,483.95026
9,Kalopa,2159,655,0.04,1961,27,35,ER,41.91,24.4,1.205,0.138,1495.950505,31.5010278,255.7846917,1783.236224
9,Kalopa,2159,655,0.04,1961,27,36,EF,18.542,11.6,0.136,0.027,99.97273646,5.197635365,35.20098309,140.3713549
9,Kalopa,2159,655,0.04,1961,27,37,EF,15.24,7.6,0.063,0.0182,52.15539189,3.369916476,21.84828929,77.37359766
9,Kalopa,2159,655,0.04,1961,27,38,ER,14.224,17.7,0.13,0.0159,41.48463091,2.893446089,18.47340189,62.85147889
9,Kalopa,2159,655,0.04,1966,32,1,ER,34.798,16.2,0.575,0.0951,807.1615994,20.88709502,162.7263998,990.7750942
9,Kalopa,2159,655,0.04,1966,32,2,ER,65.024,32.3,3.465,0.332,6424.029867,83.13811101,744.3774228,7251.545401
